@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "RING"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le               1.188
@ PC               %le        0.7286902644
@ GAMMA            %le         1.266157252
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                21.6
@ ALFA             %le        0.1514221683
@ ORBIT5           %le                  -0
@ GAMMATR          %le         2.569835177
@ Q1               %le          1.51359942
@ Q2               %le         1.236095551
@ DQ1              %le         2.155238464
@ DQ2              %le         1.008146291
@ DXMAX            %le         6.113346702
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le          3.93111883
@ BETYMAX          %le         4.463517133
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         3.509967619
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %12s "RAMROD / MAM"
@ ORIGIN           %16s "5.05.01 Linux 64"
@ DATE             %08s "25/06/19"
@ TIME             %08s "14.44.58"
* NAME                                S                  L               BETX                MUX               ALFX                 DX               BETY                MUY               ALFY                 K1                 K2              ANGLE 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QCHECK"                          12.4                0.6        3.704350503       0.8423821331      -0.7250057441      0.02215849968        3.674623427       0.6996503224      -0.4335175379                  0                  0                  0
 "L1"                             12.45               0.05          3.7778807       0.8445094046      -0.7455981979      0.02219697946        3.718783385       0.7018030869      -0.4496816086                  0                  0                  0
 "L2"                             12.55                0.1         3.93111883       0.8486397529      -0.7867831054      0.02227393903         3.81195252       0.7060307174        -0.48200975                  0                  0                  0
 "M"                              14.75                2.2        1.521618342       0.9456221754        1.182708014        2.290279772        4.463517133       0.7955638236       0.2933060844                  0                  0        1.571651612
 "L6"                             14.85                0.1        1.300841522       0.9569441306        1.025060187        2.489493757        4.407289038       0.7991524857        0.268974858                  0                  0                  0
 "Q4"                             15.15                0.3        1.006861025        1.000456644      0.01250609124        3.330619144        3.543979842       0.8108880479        2.435403822                  0                  0                  0
 "L7"                              15.2               0.05        1.008093769        1.008358577     -0.03716096197        3.515546045        3.305328872       0.8132132067        2.337615572                  0                  0                  0
 "S2"                             15.45               0.25        1.088758066        1.046707626       -0.285496228        4.440180551          2.2587564       0.8277955028        1.848674319                  0                  0                  0
 "L8"                             15.75                0.3        1.349456499        1.086512223      -0.5834985473        5.549741959         1.32557066       0.8555290457        1.261944815                  0                  0                  0
 "Q5"                             16.05                0.3        1.504057811        1.119219833       0.1007423736        6.113346702       0.9217022331       0.9006897956       0.1672972575                  0                  0                  0
 "L9"                            16.075              0.025        1.499440452        1.121869451        0.083951978        6.113346702       0.9140344422       0.9050252763       0.1394143813                  0                  0                  0
 "S1"                            16.325               0.25        1.499440452         1.14852968       -0.083951978        6.113346702       0.9140344422         0.94911805      -0.1394143813                  0                  0                  0
 "L9"                             16.35              0.025        1.504057811        1.151179298      -0.1007423736        6.113346702       0.9217022331       0.9534535307      -0.1672972575                  0                  0                  0
 "Q5"                             16.65                0.3        1.349456499        1.183886908       0.5834985473        5.549741959         1.32557066       0.9986142806       -1.261944815                  0                  0                  0
 "L8"                             16.95                0.3        1.088758066        1.223691505        0.285496228        4.440180551          2.2587564        1.026347823       -1.848674319                  0                  0                  0
 "L5"                              17.2               0.25        1.008093769        1.262040553      0.03716096197        3.515546045        3.305328872         1.04093012       -2.337615572                  0                  0                  0
 "L7"                             17.25               0.05        1.006861025        1.269942486     -0.01250609124        3.330619144        3.543979842        1.043255278       -2.435403822                  0                  0                  0
 "Q4"                             17.55                0.3        1.300841522           1.313455       -1.025060187        2.489493757        4.407289038        1.054990841       -0.268974858                  0                  0                  0
 "L6"                             17.65                0.1        1.521618342        1.324776955       -1.182708014        2.290279772        4.463517133        1.058579503      -0.2933060844                  0                  0                  0
 "M"                              19.85                2.2         3.93111883        1.421759378       0.7867831054      0.02227393903         3.81195252        1.148112609         0.48200975                  0                  0        1.571651612
 "L2"                             19.95                0.1          3.7778807        1.425889726       0.7455981979      0.02219697946        3.718783385        1.152340239       0.4496816086                  0                  0                  0
 "L1"                                20               0.05        3.704350503        1.428016997       0.7250057441      0.02215849968        3.674623427        1.154493004       0.4335175379                  0                  0                  0
 "QCHECK"                          20.6                0.6        3.049705867        1.456682184       0.3736898395      0.02192802385        3.200647195        1.182383173       0.3509094881                  0                  0                  0
 "L0"                              21.6                  1        2.676016028         1.51359942    1.456170625e-16      0.02192802385        2.849737707        1.236095551    1.734372702e-15                  0                  0                  0
 "RING$END"                        21.6                  0        2.676016028         1.51359942    1.456170625e-16      0.02192802385        2.849737707        1.236095551    1.734372702e-15                  0                  0                  0
